thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[-0.022222222222222223],[-0.23333333333333334],[1],[0],[0],[1.4026078000897542],['Target'],0,0,0,0,0.04478260001633316,,5,0.030666499980725348,0.04478260001633316,0.04478260001633316,0.030701799900271,1.0464547999436036,1.4333677999675274,[-0.022222222222222223],[-0.23333333333333334],[1],[0],[0],[1.4026078000897542],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
1,0,1,[-0.31666666666666665],[-0.16666666666666666],[1],[0],[0],[1.651423699920997],['Target'],1,0,1,0,1.4617009999928996,,5,1.4491456999676302,1.4617009999928996,1.4617009999928996,0.015590399969369173,2.4639220000244677,3.10071190004237,[-0.31666666666666665],[-0.16666666666666666],[1],[0],[0],[1.651423699920997],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
2,0,2,[-0.3541666666666667],[0.3625],[1],[0],[0],[1.4458158001070842],['Target'],2,0,2,0,3.1467838999815285,,5,3.1191053999355063,3.1467838999815285,3.1467838999815285,0.018112099962309003,4.148166800034232,4.5650272000348195,[-0.3541666666666667],[0.3625],[1],[0],[0],[1.4458158001070842],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
3,0,3,[-0.4236111111111111],[-0.4444444444444444],[1],[0],[0],[2.435042400029488],['Target'],3,0,3,0,4.6118733999319375,,10,4.596586199942976,4.6118733999319375,4.6118733999319375,0.031436000019311905,5.613283299957402,7.031719699967653,[-0.4236111111111111],[-0.4444444444444444],[1],[0],[0],[2.435042400029488],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
4,0,4,[0.3638888888888889],[-0.21805555555555556],[1],[0],[0],[1.4482911999803036],['Target'],4,0,4,0,7.061744699953124,,5,7.050401899963617,7.061744699953124,7.061744699953124,0.01847750006709248,8.065935399965383,8.498773599974811,[0.3638888888888889],[-0.21805555555555556],[1],[0],[0],[1.4482911999803036],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
5,0,5,[-0.3236111111111111],[0.07361111111111111],[1],[0],[0],[1.147078900015913],['Target'],5,0,5,0,8.528711299994029,,5,8.517734099994414,8.528711299994029,8.528711299994029,0.018791699898429215,9.529886799980886,9.664978899993002,[-0.3236111111111111],[0.07361111111111111],[1],[0],[0],[1.147078900015913],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
6,0,6,[-0.3111111111111111],[0.29444444444444445],[1],[0],[0],[1.202203799970448],['Target'],6,0,6,0,9.712018899968825,,10,9.696110700024292,9.712018899968825,9.712018899968825,0.030972499982453883,10.7133306999458,10.898387599969283,[-0.3111111111111111],[0.29444444444444445],[1],[0],[0],[1.202203799970448],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
7,0,7,[0.3333333333333333],[0.45],[1],[0],[0],[1.9333456000313163],['Target'],7,0,7,0,10.962429199949838,,10,10.93196670000907,10.962429199949838,10.962429199949838,0.03336320002563298,11.96487879997585,12.865401800023392,[0.3333333333333333],[0.45],[1],[0],[0],[1.9333456000313163],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
8,0,8,[0.49444444444444446],[-0.05277777777777778],[1],[0],[0],[1.5847038999199867],['Target'],8,0,8,0,12.896709299995564,,5,12.884172099991702,12.896709299995564,12.896709299995564,0.018465799978002906,13.89670559996739,14.469029400032014,[0.49444444444444446],[-0.05277777777777778],[1],[0],[0],[1.5847038999199867],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
9,0,9,[0.31805555555555554],[-0.31805555555555554],[1],[0],[0],[1.41800070006866],['Target'],9,0,9,0,14.51260130002629,,10,14.497372100013308,14.51260130002629,14.51260130002629,0.02806309994775802,15.513777500018477,15.915488500031643,[0.31805555555555554],[-0.31805555555555554],[1],[0],[0],[1.41800070006866],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
10,0,10,[-0.001388888888888889],[-0.025],[1],[0],[0],[2.4361826999811456],['Target'],10,0,10,0,15.962193800020032,,10,15.946905400021933,15.962193800020032,15.962193800020032,0.031236000009812415,16.96378739993088,18.383227900019847,[-0.001388888888888889],[-0.025],[1],[0],[0],[2.4361826999811456],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
11,0,11,[0.0375],[-0.3861111111111111],[1],[0],[0],[2.0378136000363156],['Target'],11,0,11,0,18.430386899970472,,10,18.411466900026426,18.430386899970472,18.430386899970472,0.027902600006200373,19.43088819994591,20.449347599991597,[0.0375],[-0.3861111111111111],[1],[0],[0],[2.0378136000363156],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
12,0,12,[0.1875],[-0.2611111111111111],[1],[0],[0],[2.255069600068964],['Target'],12,0,12,0,20.496064099948853,,10,20.477434400003403,20.496064099948853,20.496064099948853,0.027938200044445693,21.497954300022684,22.73268629994709,[0.1875],[-0.2611111111111111],[1],[0],[0],[2.255069600068964],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
13,0,13,[0.1388888888888889],[0.4652777777777778],[1],[0],[0],[3.529348599957302],['Target'],13,0,13,0,22.862621500040404,,10,22.836771999951452,22.862621500040404,22.862621500040404,0.10385459999088198,23.864834600011818,26.366226500016637,[0.1388888888888889],[0.4652777777777778],[1],[0],[0],[3.529348599957302],['Target'],0002,001,2025-09-30_16h02.16.707,visual search,,2025.1.1,60.16191979119983,2025-09-30 16h03.58.894674 +0530,
