thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[0.35694444444444445],[0.125],[1],[0],[0],[1.167593300000135],['target'],0,0,0,0,0.0413379999999961,,10,0.026035300000330608,0.0413379999999961,0.0413379999999961,0.02605249999987791,1.1938350000000355,[0.35694444444444445],[0.125],[1],[0],[0],[1.167593300000135],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
1,0,1,[-0.39305555555555555],[-0.44166666666666665],[1],[0],[0],[1.6581035999997766],['target'],1,0,1,0,1.224800200000118,,5,1.2061101000003873,1.224800200000118,1.224800200000118,0.011976599999798054,2.8643944000000374,[-0.39305555555555555],[-0.44166666666666665],[1],[0],[0],[1.6581035999997766],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
2,0,2,[0.13194444444444445],[-0.19583333333333333],[1],[0],[0],[1.3623592000003555],['target'],2,0,2,0,2.90778679999994,,10,2.884929100000136,2.90778679999994,2.90778679999994,0.02034719999983281,4.247492299999976,[0.13194444444444445],[-0.19583333333333333],[1],[0],[0],[1.3623592000003555],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
3,0,3,[-0.37777777777777777],[-0.2513888888888889],[1],[0],[0],[1.2113867999996728],['target'],3,0,3,0,4.291259900000114,,10,4.268801300000177,4.291259900000114,4.291259900000114,0.02107129999967583,5.480406900000162,[-0.37777777777777777],[-0.2513888888888889],[1],[0],[0],[1.2113867999996728],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
4,0,4,[0.009722222222222222],[-0.275],[1],[0],[0],[1.7085446000000957],['target'],4,0,4,0,5.524774800000159,,10,5.501699500000086,5.524774800000159,5.524774800000159,0.021042599999873346,7.210502400000223,[0.009722222222222222],[-0.275],[1],[0],[0],[1.7085446000000957],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
5,0,5,[-0.2791666666666667],[0.3472222222222222],[1],[0],[0],[1.7491405000000668],['target'],5,0,5,0,7.24104780000016,,10,7.2327705000002425,7.24104780000016,7.24104780000016,0.02196979999962423,8.982096400000046,[-0.2791666666666667],[0.3472222222222222],[1],[0],[0],[1.7491405000000668],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
6,0,6,[-0.20277777777777778],[0.020833333333333332],[1],[0],[0],[1.3191130000000157],['target'],6,0,6,0,9.008198900000025,,5,8.99642010000025,9.008198900000025,9.008198900000025,0.01405879999992976,10.315739600000143,[-0.20277777777777778],[0.020833333333333332],[1],[0],[0],[1.3191130000000157],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
7,0,7,[-0.3277777777777778],[0.3958333333333333],[1],[0],[0],[1.252780900000289],['target'],7,0,7,0,10.342209800000091,,5,10.328633500000251,10.342209800000091,10.342209800000091,0.012692899999819929,11.581596100000297,[-0.3277777777777778],[0.3958333333333333],[1],[0],[0],[1.252780900000289],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
8,0,8,[0.21944444444444444],[0.42916666666666664],[1],[0],[0],[1.5821847999995953],['target'],8,0,8,0,11.608310699999947,,5,11.595560400000068,11.608310699999947,11.608310699999947,0.013731399999869609,13.177953400000206,[0.21944444444444444],[0.42916666666666664],[1],[0],[0],[1.5821847999995953],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
9,0,9,[-0.08611111111111111],[0.10972222222222222],[1],[0],[0],[1.2605905000000348],['target'],9,0,9,0,13.224848100000145,,10,13.200821200000064,13.224848100000145,13.224848100000145,0.022652600000128587,14.46162990000039,[-0.08611111111111111],[0.10972222222222222],[1],[0],[0],[1.2605905000000348],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
10,0,10,[0.009722222222222222],[-0.11527777777777778],[1],[0],[0],[2.0659937000000355],['target'],10,0,10,0,14.493198099999972,,5,14.482680900000105,14.493198099999972,14.493198099999972,0.020701700000245182,16.54891170000019,[0.009722222222222222],[-0.11527777777777778],[1],[0],[0],[2.0659937000000355],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
11,0,11,[0.38472222222222224],[0.09444444444444444],[1],[0],[0],[1.184313999999631],['target'],11,0,11,0,16.575907700000243,,5,16.56378870000026,16.575907700000243,16.575907700000243,0.01466889999983323,17.748289200000272,[0.38472222222222224],[0.09444444444444444],[1],[0],[0],[1.184313999999631],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
12,0,12,[-0.36527777777777776],[0.19583333333333333],[1],[0],[0],[1.4445193999999901],['target'],12,0,12,0,17.79212170000028,,10,17.77031190000025,17.79212170000028,17.79212170000028,0.02183100000002014,19.21501860000035,[-0.36527777777777776],[0.19583333333333333],[1],[0],[0],[1.4445193999999901],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
13,0,13,[-0.09166666666666666],[-0.4027777777777778],[1],[0],[0],[1.535848900000019],['target'],13,0,13,0,19.241956500000015,,5,19.229664400000274,19.241956500000015,19.241956500000015,0.014426499999899534,20.765750300000036,[-0.09166666666666666],[-0.4027777777777778],[1],[0],[0],[1.535848900000019],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
14,0,14,[-0.49027777777777776],[-0.16527777777777777],[1],[0],[0],[1.2845112999998491],['target'],14,0,14,0,20.79221030000008,,5,20.781221300000198,20.79221030000008,20.79221030000008,0.015259299999797804,22.065934200000356,[-0.49027777777777776],[-0.16527777777777777],[1],[0],[0],[1.2845112999998491],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
15,0,15,[0.36527777777777776],[-0.27361111111111114],[1],[0],[0],[2.223346499999934],['target'],15,0,15,0,22.10893329999999,,10,22.088273800000024,22.10893329999999,22.10893329999999,0.022138599999834696,24.311837800000376,[0.36527777777777776],[-0.27361111111111114],[1],[0],[0],[2.223346499999934],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
16,0,16,[-0.3472222222222222],[0.05138888888888889],[1],[0],[0],[1.4642110000004323],['target'],16,0,16,0,24.359243200000037,,10,24.334538300000077,24.359243200000037,24.359243200000037,0.022422099999857892,25.798942400000215,[-0.3472222222222222],[0.05138888888888889],[1],[0],[0],[1.4642110000004323],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
17,0,17,[-0.2222222222222222],[0.19722222222222222],[1],[0],[0],[1.1683765000002495],['target'],17,0,17,0,25.825605200000155,,5,25.81491670000014,25.825605200000155,25.825605200000155,0.0157469000000674,26.983495400000265,[-0.2222222222222222],[0.19722222222222222],[1],[0],[0],[1.1683765000002495],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
18,0,18,[0.3111111111111111],[0.14027777777777778],[1],[0],[0],[1.7407837999999174],['target'],18,0,18,0,27.02575650000017,,10,27.00449000000026,27.02575650000017,27.02575650000017,0.020783099999789556,28.74546720000035,[0.3111111111111111],[0.14027777777777778],[1],[0],[0],[1.7407837999999174],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
19,0,19,[-0.3125],[0.4625],[1],[0],[0],[1.4208020999999462],['target'],19,0,19,0,28.77627110000003,,5,28.757971100000304,28.77627110000003,28.77627110000003,0.012263699999948585,30.17897210000001,[-0.3125],[0.4625],[1],[0],[0],[1.4208020999999462],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
20,0,20,[0.11666666666666667],[0.2902777777777778],[1],[0],[0],[1.3895834999998442],['target'],20,0,20,0,30.20972400000028,,5,30.192347600000176,30.20972400000028,30.20972400000028,0.013129599999956554,31.582154800000353,[0.11666666666666667],[0.2902777777777778],[1],[0],[0],[1.3895834999998442],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
21,0,21,[-0.4388888888888889],[0.4861111111111111],[1],[0],[0],[1.3992238999999245],['target'],21,0,21,0,31.60928610000019,,5,31.598765900000217,31.60928610000019,31.60928610000019,0.016332600000168895,32.998174199999994,[-0.4388888888888889],[0.4861111111111111],[1],[0],[0],[1.3992238999999245],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
22,0,22,[0.37083333333333335],[0.06666666666666667],[1],[0],[0],[1.5434672999999748],['target'],22,0,22,0,33.04280280000012,,10,33.01949760000025,33.04280280000012,33.04280280000012,0.021137799999905837,34.563172399999985,[0.37083333333333335],[0.06666666666666667],[1],[0],[0],[1.5434672999999748],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
23,0,23,[-0.39305555555555555],[-0.12777777777777777],[1],[0],[0],[1.4943905000000086],['target'],23,0,23,0,34.60946270000022,,10,34.5852689000003,34.60946270000022,34.60946270000022,0.0218590999998014,36.07997620000015,[-0.39305555555555555],[-0.12777777777777777],[1],[0],[0],[1.4943905000000086],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
24,0,24,[0.13472222222222222],[-0.3611111111111111],[1],[0],[0],[1.5896700000002966],['target'],24,0,24,0,36.11018920000015,,5,36.09264710000025,36.11018920000015,36.11018920000015,0.012372900000173104,37.68252560000019,[0.13472222222222222],[-0.3611111111111111],[1],[0],[0],[1.5896700000002966],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
25,0,25,[0.13055555555555556],[-0.22777777777777777],[1],[0],[0],[1.0658238999999412],['target'],25,0,25,0,37.71006380000017,,5,37.69661740000038,37.71006380000017,37.71006380000017,0.01386789999969551,38.76264370000035,[0.13055555555555556],[-0.22777777777777777],[1],[0],[0],[1.0658238999999412],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
26,0,26,[-0.18194444444444444],[0.3625],[1],[0],[0],[1.5894029000000955],['target'],26,0,26,0,38.79341730000033,,5,38.77690080000002,38.79341730000033,38.79341730000033,0.014015599999765982,40.36648850000029,[-0.18194444444444444],[0.3625],[1],[0],[0],[1.5894029000000955],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
27,0,27,[-0.1125],[-0.3861111111111111],[1],[0],[0],[1.6089944000000287],['target'],27,0,27,0,40.40994650000039,,10,40.38672530000031,40.40994650000039,40.40994650000039,0.02004639999995561,41.99596930000007,[-0.1125],[-0.3861111111111111],[1],[0],[0],[1.6089944000000287],['target'],0004,001,2025-09-30_16h52.41.627,Visual search 2,,2025.1.1,60.03777576844817,2025-09-30 16h52.50.471007 +0530,
