thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,0,10,[-0.2013888888888889],[-0.18333333333333332],[1],[0],[0],[1.6525425999425352],['Target'],10,0,10,0,20.063714200048707,,10,20.05124640010763,20.063714200048707,20.063714200048707,0.03242740000132471,21.065670800046064,21.703904299996793,[-0.2013888888888889],[-0.18333333333333332],[1],[0],[0],[1.6525425999425352],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
11,0,11,[0.4666666666666667],[0.016666666666666666],[1],[0],[0],[1.7626781000290066],['Target'],11,0,11,0,21.747630600002594,,5,21.722310100100003,21.747630600002594,21.747630600002594,0.018184399930760264,22.748895300086588,23.48508800007403,[0.4666666666666667],[0.016666666666666666],[1],[0],[0],[1.7626781000290066],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
12,0,12,[0.31527777777777777],[-0.030555555555555555],[1],[0],[0],[1.2141157001024112],['Target'],12,0,12,0,23.513942999998108,,5,23.50433820008766,23.513942999998108,23.513942999998108,0.01904330006800592,24.515475300024264,24.71855820005294,[0.31527777777777777],[-0.030555555555555555],[1],[0],[0],[1.2141157001024112],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
13,0,13,[0.11388888888888889],[0.18055555555555555],[1],[0],[0],[2.4036465999670327],['Target'],13,0,13,0,24.764221900026314,,10,24.749065500102006,24.764221900026314,24.764221900026314,0.030318500008434057,25.765862500062212,27.152830100036226,[0.11388888888888889],[0.18055555555555555],[1],[0],[0],[2.4036465999670327],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
14,0,14,[0.29583333333333334],[0.46944444444444444],[1],[0],[0],[3.2046348999720067],['Target'],14,0,14,0,27.19746270007454,,10,27.181738500017673,27.19746270007454,27.19746270007454,0.028588099987246096,28.199332300107926,30.38649920001626,[0.29583333333333334],[0.46944444444444444],[1],[0],[0],[3.2046348999720067],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
15,0,15,[-0.32916666666666666],[0.3375],[1],[0],[0],[1.1827435999875888],['Target'],15,0,15,0,30.430916300043464,,10,30.418904400081374,30.430916300043464,30.430916300043464,0.03219679999165237,31.43290180002805,31.601730599999428,[-0.32916666666666666],[0.3375],[1],[0],[0],[1.1827435999875888],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
16,0,16,[-0.2152777777777778],[0.019444444444444445],[1],[0],[0],[1.001276700058952],['Target'],16,0,16,0,31.64833620004356,,10,31.63352280005347,31.64833620004356,31.64833620004356,0.03162919997703284,32.66427860001568,32.63487390009686,[-0.2152777777777778],[0.019444444444444445],[1],[0],[0],[1.001276700058952],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
17,0,17,[0.25416666666666665],[-0.2611111111111111],[1],[0],[0],[1.4176226999843493],['Target'],17,0,17,0,32.66427860001568,,5,32.6527378000319,32.66427860001568,32.66427860001568,0.01769180002156645,33.66644450009335,34.07072030007839,[0.25416666666666665],[-0.2611111111111111],[1],[0],[0],[1.4176226999843493],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
18,0,18,[-0.14583333333333334],[0.3263888888888889],[1],[0],[0],[0.9626127999508753],['Target'],18,0,18,0,34.09813990001567,,5,34.089640100020915,34.09813990001567,34.09813990001567,0.01871099998243153,,35.05237950000446,[-0.14583333333333334],[0.3263888888888889],[1],[0],[0],[0.9626127999508753],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
19,0,19,[0.41388888888888886],[-0.1597222222222222],[1],[0],[0],[2.8546144999563694],['Target'],19,0,19,0,35.097791800042614,,10,35.082277800072916,35.097791800042614,35.097791800042614,0.02963670005556196,36.09947080002166,37.9369999000337,[0.41388888888888886],[-0.1597222222222222],[1],[0],[0],[2.8546144999563694],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
20,0,20,[0.46111111111111114],[0.0125],[1],[0],[0],[1.149648700025864],['Target'],20,0,20,0,37.96458570007235,,5,37.95551710005384,37.96458570007235,37.96458570007235,0.018231999943964183,38.96681900008116,39.105281300027855,[0.46111111111111114],[0.0125],[1],[0],[0],[1.149648700025864],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
21,0,21,[-0.14444444444444443],[0.4791666666666667],[1],[0],[0],[1.5972431000554934],['Target'],21,0,21,0,39.13125770003535,,5,39.12257940007839,39.13125770003535,39.13125770003535,0.01710820000153035,40.133236700086854,40.71996430004947,[-0.14444444444444443],[0.4791666666666667],[1],[0],[0],[1.5972431000554934],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
22,0,22,[0.4722222222222222],[-0.10277777777777777],[1],[0],[0],[1.2199111999943852],['Target'],22,0,22,0,40.765625300002284,,10,40.74975750001613,40.765625300002284,40.765625300002284,0.029526200029067695,41.76707719999831,41.96978470007889,[0.4722222222222222],[-0.10277777777777777],[1],[0],[0],[1.2199111999943852],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
23,0,23,[-0.10555555555555556],[0.19027777777777777],[1],[0],[0],[0.9814702000003308],['Target'],23,0,23,0,41.99811000004411,,5,41.987796000088565,41.99811000004411,41.99811000004411,0.017710300046019256,,42.96937470010016,[-0.10555555555555556],[0.19027777777777777],[1],[0],[0],[0.9814702000003308],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
24,0,24,[0.4638888888888889],[0.45694444444444443],[1],[0],[0],[1.728516999981366],['Target'],24,0,24,0,43.01570430002175,,5,42.98961660009809,43.01570430002175,43.01570430002175,0.02005769999232143,44.01620090007782,44.718211300089024,[0.4638888888888889],[0.45694444444444443],[1],[0],[0],[1.728516999981366],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
25,0,25,[0.4263888888888889],[0.36944444444444446],[1],[0],[0],[2.7844355000415817],['Target'],25,0,25,0,44.748375500086695,,5,44.736855300026946,44.748375500086695,44.748375500086695,0.01794349995907396,45.75075710006058,47.52141320006922,[0.4263888888888889],[0.36944444444444446],[1],[0],[0],[2.7844355000415817],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
