study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,trials_2.textbox.text,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,testText.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,L_pt_p,laptop,laptop,old,laptop,[],[],[],[],[],[],[],,,,,0,0,0,0,31.8185753,,,,,,,,31.7993959,31.8185753,31.8185753,31.8185753,0.0122613,41.8040381,laptop,[],[],[],[],[],[],[],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,1,1,0,,,P_nc_l,Pencil,pencil,new,pencil,"[0.2791666666666667, 0.030555555555555555]","[-0.3111111111111111, -0.2875]","[1, 1]","[0, 0]","[0, 0]","[5.696983500150964, 6.797590899979696]","[None, 'text_3']",,,,,0,1,1,17,41.8197719,,,,,,,,41.8091737,41.8197719,41.8197719,41.8197719,0.0220216,48.6070971,pencil,"[0.2791666666666667, 0.030555555555555555]","[-0.3111111111111111, -0.2875]","[1, 1]","[0, 0]","[0, 0]","[5.696983500150964, 6.797590899979696]","[None, 'text_3']",2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,2,2,0,,,Ke_s,keys,keys,old,keys,[0.030555555555555555],[-0.2875],[1],[0],[0],[3.076777399983257],['text_3'],,,,,0,2,2,8,48.6357993,,,,,,,,48.6129355,48.6357993,48.6357993,48.6357993,0.0056854,51.6901116,keys,[0.030555555555555555],[-0.2875],[1],[0],[0],[3.076777399983257],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,3,3,0,,,C_m_ra,Camera,,new,,[0.030555555555555555],[-0.2875],[1],[0],[0],[1.0117072998546064],['text_3'],,,,,0,3,3,20,51.7195877,,,,,,,,51.6936376,51.7195877,51.7195877,51.7195877,0.003407,52.7056749,,[0.030555555555555555],[-0.2875],[1],[0],[0],[1.0117072998546064],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,4,4,0,,,R_ng,Ring,camera,new,camera,[0.030555555555555555],[-0.2875],[1],[0],[0],[6.178384299855679],['text_3'],,,,,0,4,4,22,52.7367269,,,,,,,,52.7103484,52.7367269,52.7367269,52.7367269,0.0045995,58.8891386,camera,[0.030555555555555555],[-0.2875],[1],[0],[0],[6.178384299855679],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,5,5,0,,,Ma_b_e,Marble,maybe,old,maybe,[0.030555555555555555],[-0.2875],[1],[0],[0],[7.31188639998436],['text_3'],,,,,0,5,5,12,58.9197096,,,,,,,,58.8945491,58.9197096,58.9197096,58.9197096,0.005298,66.2068181,maybe,[0.030555555555555555],[-0.2875],[1],[0],[0],[7.31188639998436],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,6,6,0,,,_ru_se,cruise,cruise,old,cruise,[0.030555555555555555],[-0.2875],[1],[0],[0],[4.529215899994597],['text_3'],,,,,0,6,6,6,66.2368383,,,,,,,,66.2105457,66.2368383,66.2368383,66.2368383,0.003552,70.7401668,cruise,[0.030555555555555555],[-0.2875],[1],[0],[0],[4.529215899994597],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,7,7,0,,,P_st_y,Pastry,pastry,old,pastry,[0.030555555555555555],[-0.2875],[1],[0],[0],[5.629836299922317],['text_3'],,,,,0,7,7,4,70.7704318,,,,,,,,70.7437566,70.7704318,70.7704318,70.7704318,0.0034846,76.3740263,pastry,[0.030555555555555555],[-0.2875],[1],[0],[0],[5.629836299922317],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,8,8,0,,,B_tt_e,Bottle,bo,new,bo,[],[],[],[],[],[],[],,,,,0,8,8,19,76.4050513,,,,,,,,76.3796519,76.4050513,76.4050513,76.4050513,0.0054639,86.391149,bo,[],[],[],[],[],[],[],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,9,9,0,,,B_a_d,Board,board,old,board,[0.030555555555555555],[-0.2875],[1],[0],[0],[7.548459000186995],['text_3'],,,,,0,9,9,10,86.4060412,,,,,,,,86.3940222,86.4060412,86.4060412,86.4060412,0.0198461,93.9428957,board,[0.030555555555555555],[-0.2875],[1],[0],[0],[7.548459000186995],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
