delay,freq,condition,key_resp.rt,textbox.text,,,,,,,,
0.4,400,unexp,0.3030702,800,,,,,,,,
0.7,1000,exp,0.2964243,340,,,,,,,,
0.1,1000,exp,0.3347446,120,,,,,,,,
0.1,1000,exp,0.0864149,230,,,,,,,,
0.4,1000,exp,0.2601886,350,,,,,,,,
0.7,400,unexp,0.2945245,700,,,,,,,,
0.1,1000,exp,0.2627908,100,,,,,,,,
0.7,1000,exp,0.351093,200,,,,,,,,
0.4,1000,exp,0.3267392,250,,,,,,,,
0.4,1000,exp,0.3169469,250,,,,,,,,
0.7,1000,exp,0.2012122,300,,,,,,,,
0.1,400,unexp,0.50695,800,,,,,,,,
0.1,1000,exp,0.3535621,200,,,,,,,,
0.4,1000,exp,0.2801202,100,,,,,,,,
0.7,1000,exp,0.3214819,200,,,,,,,,
0.7,1000,exp,1.5110371,400,,,,,,,,
0.7,400,unexp,0.2773392,800,,,,,,,,
0.7,1000,exp,0.8249082,,,,,,,,,
0.4,1000,exp,1.4494115,230,,,,,,,,
0.1,1000,exp,0.5225705,400,,,,,,,,
0.4,400,unexp,0.7142759,800,,,,,,,,
0.1,400,unexp,0.4891212,850,,,,,,,,
0.1,1000,exp,0.2996689,430,,,,,,,,
0.4,1000,exp,0.3904754,230,,,,,,,,
0.4,1000,exp,0.4391383,300,,,,,,,,
0.1,1000,exp,1.0776214,100,,,,,,,,
0.1,1000,exp,0.954682,300,,,,,,,,
0.4,1000,exp,0.6677367,400,,,,,,,,
0.4,1000,exp,0.8601391,300,,,,,,,,
0.4,400,unexp,0.7966376,800,,,,,,,,
0.1,400,unexp,0.4300276,900,,,,,,,,
0.7,400,unexp,0.3414007,700,,,,,,,,
0.7,1000,exp,0.243439,"240
",,,,,,,,
0.1,1000,exp,0.649934,340,,,,,,,,
0.7,1000,exp,0.2499935,568,,,,,,,,
0.7,1000,exp,0.7071141,560,,,,,,,,
0.7,1000,exp,0.7365336,230,,,,,,,,
0.7,1000,exp,1.2073159,340,,,,,,,,
0.4,1000,exp,1.5923273,"120
",,,,,,,,
0.7,1000,exp,0.5688832,240,,,,,,,,
0.1,1000,exp,0.36602,120,,,,,,,,
0.1,1000,exp,0.6959028,340,,,,,,,,
0.4,1000,exp,2.329782,340,,,,,,,,
0.1,400,unexp,4.0910413,800,,,,,,,,
0.1,1000,exp,0.1827548,340,,,,,,,,
0.4,400,unexp,1.2578444,800,,,,,,,,
0.4,1000,exp,0.2257419,600,,,,,,,,
0.7,400,unexp,3.3463728,600,,,,,,,,
0.4,1000,exp,1.1836571,230,,,,,,,,
0.1,1000,exp,0.45857,300,,,,,,,,
0.1,400,unexp,0.9048066,800,,,,,,,,
0.1,1000,exp,2.0990432,200,,,,,,,,
0.7,1000,exp,1.5300612,230,,,,,,,,
0.4,1000,exp,1.1830797,120,,,,,,,,
0.4,400,unexp,4.2018327,120,,,,,,,,
0.7,1000,exp,0.4239005,500,,,,,,,,
